COURSE CATEGORY,COURSE TITLE,COURSE OBJECTIVE,COURSE INSTRUCTORS,INSTRUCTOR PROFFESSION,COURSE RATING,,,
,,,,,,,,
IT AND SOFTWARE,"Learn Ethical Hacking From Scratch
","135+ ethical hacking & security videos.
Start from 0 up to a high-intermediate level.
Learn ethical hacking, its fields & the different types of hackers.
Install a hacking lab & needed software (on Windows, OS X and Linux).
Hack & secure both WiFi & wired networks.
Understand how websites work, how to discover & exploit web application vulnerabilities to hack websites.
Use 30+ hacking tools such as Metasploit, Aircrack-ng, SQLmap.....etc.
Discover vulnerabilities & exploit them to hack into servers.
Hack secure systems using client-side & social engineering.
Secure systems from all the attacks shown.
Install & use Kali Linux - a penetration testing operating system.
Learn linux basics.
Learn linux commands & how to interact with the terminal.
Learn Network Hacking / Penetration Testing.
Network basics & how devices interact inside a network.
Run attacks on networks without knowing its key.
Control Wi-Fi connections without knowing the password.
Create a fake Wi-Fi network with internet connection & spy on clients.
Gather detailed information about networks & connected clients like their OS, ports ...etc.
Crack WEP/WPA/WPA2 encryptions using a number of methods.
ARP Spoofing / ARP Poisoning.
Launch various Man In The Middle attacks.
Access any account accessed by any client on the network.
Sniff network traffic & analyse it to extract important info such as: passwords, cookies, urls, videos, images ..etc.
Intercept network traffic & modify it on the fly.
Discover devices connected to the same network.
Inject Javascript in pages loaded by clients connected to the same network.
Redirect DNS requests to any destination (DNS spoofing).
Secure networks from the discussed attacks.
Edit router settings for maximum security.
Discover suspicious activities in networks.
Encrypt traffic to prevent MITM attacks.
Discover open ports, installed services and vulnerabilities on computer systems.
Hack servers using server side attacks.
Exploit buffer over flows & code execution vulnerabilities to gain control over systems.
Hack systems using client side attacks.
Hack systems using fake updates.
Hack systems by backdooring downloads on the fly.
Create undetectable backdoors.
Backdoor normal programs.
Backdoor any file type such as pictures, pdf's ...etc.
Gather information about people, such as emails, social media accounts, emails and friends.
Hack secure systems using social engineering.
Send emails from ANY email account without knowing the password for that account.
Analyse malware.
Manually detect undetectable malware.
Read, write download, upload and execute files on compromised systems.
Capture keystrokes on a compromised system.
Use a compromised computer as a pivot to hack other systems.
Understand how websites & web applications work.
Understand how browsers communicate with websites.
Gather sensitive information about websites.
Discover servers, technologies & services used on target website.
Discover emails & sensitive data associated with a specific website.
Discover subdomains associated with a website.
Discover unpublished directories & files associated with a target website.
Discover websites hosted on the same server as the target website.
Exploit file upload vulnerabilities to gain control over target website.
Discover, exploit and fix code execution vulnerabilities.
Discover, exploit & fix local file inclusion vulnerabilities.
Discover, exploit & fix SQL injection vulnerabilities.
Bypass login forms and login as admin using SQL injections.
Exploit SQL injections to find databases, tables & sensitive data such as usernames, passwords...etc
Read / Write files to the server using SQL injections.
Learn the right way to write SQL queries to prevent SQL injections.
Discover reflected XSS vulnerabilities.
Discover Stored XSS vulnerabilities.
Hook victims to BeEF using XSS vulnerabilities.
Fix XSS vulnerabilities & protect yourself from them as a user.
Discover MITM & ARP Spoofing attacks.
","Zaid Sabih
z Security
","Ethical Hacker, Computer Scientist & CEO of zSecurity
Leading provider of ethical hacking and cyber security training,
","4.6
",,,
,,,,,,,,
IT AND SOFTWARE,"Ultimate AWS Certified Solutions Architect Associate 2021
","FULLY UPDATED FOR SAA-C02: Pass the AWS Certified Solutions Architect Associate Certification
All 600+ slides available as downloadable PDF
Perform Real-World Solution Architecture on AWS
Learn the AWS Fundamentals (EC2, ELB, ASG, RDS, ElastiCache, S3)
Learn the Serverless Fundamentals (Lambda, DynamoDB, Cognito, API Gateway)
Analyze 10+ Solution Architectures (traditional & serverless)
Understand the Well Architected Framework, Disaster Recovery
Master all the differences of Databases on AWS
Secure your entire AWS Cloud using KMS, IAM Policies & SSM
","Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer
","Best Selling Instructor, Kafka Guru, 9x AWS Certified
","4.7
",,,
,,,,,,,,
IT AND SOFTWARE,"The Complete Cyber Security Course : Network Security!
","An advanced practical skill-set in assuring network security against all threats including - advanced hackers, trackers, exploit kits, Wi-Fi attacks and much more.
In this volume, we take a detailed look at network security.
Start a career in cyber security. Become a cyber security specialist.
The very latest up-to-date information and methods.
Discover security vulnerabilities across an entire network, by using network hacking techniques and vulnerability scanning.
You will be able to configure firewalls on all platforms including Windows, MacOS, and Linux for all types of attack scenarios.
Learn to configure and architect a small network for maximum physical and wireless security.
Perform network monitoring to discover and identify potential hackers and malware using tools like Wireshark, Tcpdump, and Syslog.
Understand how we are tracked online by corporations, nation-states your ISP and others.
We look at search engine privacy - we will best understand how to mitigate the tracking and privacy issues of search engines and their associated services.
Understand how to best use methods of authentication including passwords, multi-factor authentication including soft tokens and hard tokens.
What are the best password managers to use and why. How passwords are cracked, and how to mitigate the password attacks.
A certificate of completion is available signed by the instructor Nathan House so CPE credits can be claimed. An off-site sign-up is required to provide your details for this optional certificate.
","Nathan House
","Leading Cyber Security Expert
","4.5
",,,
,,,,,,,,
IT AND SOFTWARE,"Learn Linux in 5 Days and Level Up Your Career
","By the end of this course you will understand the fundamentals of the Linux operating system and be able to apply that knowledge in a practical and useful manner.
","Jason Cannon
","Professional system administrator, consultant, and author.
","4.5
",,,
,,,,,,,,
IT AND SOFTWARE,"The Complete Oracle SQL Certification Course
","Become Job Ready to Start Contributing as a Database Developer Day 1
Program in the SQL Language to Solve a Variety of Database Problems
Code along with me to PRACTICE and IMPLEMENT everything you learn
Become a SQL Ninja and Understand How the Oracle Database Works
MASTER the Content Required to Pass the Oracle 1Z0-071 Database SQL Exam
Obtain the Skills that are Necessary to Land a Job as a SQL Developer
Have the Ability to Solve any SQL Problem
","Imtiaz Ahmad
","Senior Software Engineer & Trainer @ Job Ready Programmer
","4.6
",,,
,,,,,,,,
IT AND SOFTWARE,"Blockchain and Bitcoin Fundamentals
","Have a strong understanding of what blockchain technology is.
Understand what Bitcoin is and how it works.
Know and use key vocabulary and concepts commonly used when discussing blockchain and Bitcoin in business situations.
","George Levy
","Award winning instructor blockchain, Bitcoin, cryptocurrency
","4.6
",,,
,,,,,,,,
IT AND SOFTWARE,"[NEW] Complete Salesforce Administrator Certification Course
","Understand all of the core concepts on the exam in order to pass the Salesforce Administrator Certification Exam
Administer Salesforce Like a Pro
Deploy Salesforce Lightning Experience
Roll Out Salesforce Mobile
Use SalesforceA
Use Salesforce Lightning and Classic
","Mike Wheeler
Aaron Wheeler
Evan Wheeler
Zeke Wheeler
","Salesforce Trainer - 150,000+ Students - 28K+ 5-Star Reviews
Adobe Certified Expert (ACE) - Premiere Pro CC
Video Editor for Mike Wheeler Media
Editor
","4.6
",,,
,,,,,,,,
IT AND SOFTWARE,"Spring Framework Master Class - Java Spring the Modern Way
","You will Learn Spring Framework the MODERN WAY - The way Real Projects use it!
You will Become a COMPLETE Spring Developer - With the ability to write Great Unit Tests
You will Acquire ALL the SKILLS to demonstrate an EXPERTISE with Spring Framework in Your Job Interviews
You will learn the BASICS of Spring - Dependency Injection, IOC Container, Application Context and Bean Factory
You will Become the GO TO GUY for Fixing Spring Framework problems in Your Project
You will GO FROM a Total Beginner to an EXPERIENCED Spring Developer
You will understand how to use Spring Annotations - @Autowired, @Component, @Service, @Repository, @Configuration, @Primary....
You will understand Spring MVC in depth - DispatcherServlet , Model, Controllers and ViewResolver
You will use a variety of Spring Boot Starters - Spring Boot Starter Web, Starter Data Jpa, Starter Test
You will learn the basics of Spring Boot, Spring AOP, Spring JDBC and JPA
You will learn the basics of Eclipse, Maven, JUnit and Mockito
You will develop a basic Web application step by step using JSP Servlets and Spring MVC
You will learn to write unit tests with XML, Java Application Contexts and Mockito
","in28Minutes Official
","DevOps, Azure, GCP, Docker, Kubernetes, Java & Spring Boot
","4.5
",,,
,,,,,,,,
IT AND SOFTWARE,"Google Cloud Platform (GCP) Fundamentals for Beginners
","Take the first step in your GCP readiness journey
Explore GCP building blocks
Understand the key GCP services
Learn how to use GCP compute, storage, and networking services
Identify the value proposition of key GCP services
Choose the right GCP service for your use case and business scenario
Apply the concepts of identity & access management to secure GCP projects
","Janakiram MSV
","Analyst | Advisor | Architect
","4.4
",,,
,,,,,,,,
